Project Name;Checkpoint Name;Created On;File Name;Lines;Statements;Percent Branch Statements;Method Call Statements;Percent Lines with Comments;Classes and Interfaces;Methods per Class;Average Statements per Method;Line Number of Most Complex Method*;Name of Most Complex Method*;Maximum Complexity*;Line Number of Deepest Block;Maximum Block Depth;Average Block Depth;Average Complexity*;Statements at block level 0;Statements at block level 1;Statements at block level 2;Statements at block level 3;Statements at block level 4;Statements at block level 5;Statements at block level 6;Statements at block level 7;Statements at block level 8;Statements at block level 9
vntful;VFBaseline;18 Nov 2014;java files\client\AppController.java;116;72;11.1;20;1.7;4;2.25;4.33;79;AppController.onValueChange();7;50;4;1.57;1.89;21;15;21;11;7;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\ButtonFactory.java;62;48;0.0;27;0.0;1;5.00;6.40;16;ButtonFactory.createGoogleLoginButton();1;17;2;1.54;1.00;6;10;32;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\EventModelService.java;15;9;0.0;0;0.0;1;1.00;0.00;;;0;14;1;0.11;0.00;8;1;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\EventModelServiceAsync.java;13;6;0.0;0;0.0;1;1.00;0.00;;;0;11;1;0.17;0.00;5;1;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\FavoritedEventService.java;18;10;0.0;0;0.0;1;3.00;0.00;;;0;12;1;0.30;0.00;7;3;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\FavoritedEventServiceAsync.java;16;8;0.0;0;0.0;1;3.00;0.00;;;0;10;1;0.38;0.00;5;3;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\ListBoxFactory.java;48;33;9.1;21;0.0;1;3.00;7.33;14;ListBoxFactory.getListBox();3;17;3;1.64;2.00;4;7;19;3;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\LoginService.java;13;7;0.0;0;23.1;1;1.00;0.00;;;0;12;1;0.14;0.00;6;1;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\LoginServiceAsync.java;13;5;0.0;0;23.1;1;1.00;0.00;;;0;11;1;0.20;0.00;4;1;0;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\NavBarBuilder.java;48;33;3.0;15;0.0;1;4.00;4.50;18;NavBarBuilder.getNavBarBuilder();2;20;3;1.27;1.25;10;5;17;1;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\PopUpBuilder.java;96;58;0.0;39;10.4;1;7.00;5.00;26;PopUpBuilder.constructContentPanel();1;28;2;1.40;1.00;12;11;35;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\ProgressBarFactory.java;21;15;0.0;6;0.0;1;1.00;7.00;12;ProgressBarFactory.createProgressBar();1;13;2;1.13;1.00;5;3;7;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\TableFactory.java;71;45;0.0;23;0.0;2;3.00;4.17;23;?(instance of TextCell).getValue();1;53;4;1.50;1.00;8;13;21;2;2;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\Vntful.java;40;23;0.0;10;0.0;2;1.50;4.33;24;Vntful.onModuleLoad();1;25;4;1.71;1.00;8;3;6;2;5;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\event\FavoriteEvent.java;18;8;0.0;1;0.0;1;2.00;1.00;10;FavoriteEvent.dispatch();1;11;2;0.88;1.00;3;3;2;0;0;0;0;0;0;0
vntful;VFBaseline;18 Nov 2014;java files\client\event\FavoriteEventHandler.java;7;4;0.0;0;0.0;1;1.00;0.00;;;0;6;1;0.25;0.00;3;1;0;0;0;0;0;0;0;0
