origin_x,origin_y,number,planet_radius,period,package,title
200,200,5,10,4.6,com.omg.this.is.a.long.name.package1,ClassA
200,200,4,4,3,com.omg.this.is.a.long.name.package1,ClassT
200,200,3,6,19,com.omg.this.is.a.long.name.package1,ClassC
200,200,2,8,46,com.omg.this.is.a.long.name.package1,ClassD
200,200,1,12,1.8,com.omg.this.is.a.long.name.package1,ClassS
600,200,1,5,5.2,com.omg.this.is.a.long.name.package2,ClassF
600,200,3,3.9,2.1,com.omg.this.is.a.long.name.package2,ClassR
600,200,2,7,9.5,com.omg.this.is.a.long.name.package2,ClassQ
600,200,4,3,74,com.omg.this.is.a.long.name.package2,ClassG
1000,200,1,1.9,4.8,com.omg.this.is.a.long.name.package3,ClassZ
1000,200,2,8.3,18,com.omg.this.is.a.long.name.package3,ClassY
1000,200,3,4,5.4,com.omg.this.is.a.long.name.package3,ClassM
